name,spike,length,width,height,He,err,U,err,Ca,err,Mn,err,Y,err,Sm,err,Th,err,U,err,Th,err,P,err,Si,err,Cl,err,Sr,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],43,[err],55,[cps],89,[cps],147,[cps],232,[cps],235,[cps],230,[cps],31,[cps],29,[cps],35,[cps],88,[cps]
SS1,,,,,,,65661.27484375,1366.1094864684,886491.3771875,34525.6338805067,128533.35015625,8228.4163528118,1020724.04765625,40034.4959808037,14190.0990625,374.8500076246,65270.18234375,1084.6496865977,150.625,46.6920371088,24.609375,29.7516797912,21149540.3923437,660164.532014355,1956366.1678125,277885.196175509,176629.076875,6175.340759054,724621.9690625,29594.0092897442
SS2,,,,,,,63949.79890625,1791.9192591373,771461.91609375,124857.190079715,180847.56921875,29664.7500479973,701611.41421875,69840.2411966632,11932.44359375,443.1795782376,58949.02328125,1693.7105640147,140.390625,44.3196334677,22.109375,29.5442187762,18131884.8442187,2470137.29643039,1874422.9621875,300304.400720278,193202.97140625,15501.2551182441,618690.3159375,67918.5580192671
SS3,,,,,,,64146.0896875,2112.5363384278,733209.76578125,125533.379673295,119775.6140625,19700.5396028861,699888.25625,60989.4461227406,11823.8525,410.3295916689,58918.19734375,1598.134052433,149.6875,50.6929903031,26.25,27.973910748,18558011.9648438,2175288.94406968,1893088.4103125,294236.214524291,155347.4853125,15848.6684393772,515282.51765625,72355.6019524561
DUR1,0.0603,,,,7.8917,0.01,198958.054375,3692.1324595726,9959473.9778125,406389.868960164,1890623.50859375,56949.5499817153,10269086.9342188,342475.306512995,527008.23234375,8241.6184452571,3182940.968125,53123.430977219,134370.90234375,2995.2315466558,166221.98328125,3171.3149422258,122201378.448125,4450329.39675918,2059634.0778125,280659.656912706,705958.0709375,15385.9236188716,8886061.48390625,304169.81545422
DUR2,0.0592,,,,1.9635,0.01,45234.72390625,1022.9133657519,2119613.04171875,126789.440202261,626496.098125,30448.766843245,2044801.89703125,70834.3238971265,103576.6471875,1755.4276051531,629180.356875,11473.7924426797,131594.54734375,2572.3831013022,162231.905625,2887.1730560538,25925493.8203125,1007340.82286381,1781350.7865625,270026.376284471,650039.88484375,14390.3192672087,1989232.96609375,66301.7429595826
DUR3,0.0586,,,,2.9762,0.01,84206.06546875,1546.9701961444,3141360.4553125,115046.267138153,667722.84015625,34351.6427111733,3070061.64921875,111122.996224877,147247.69203125,2280.6532581111,1039898.08625,20750.8384230374,131101.3684375,2840.3797007545,163035.2578125,2857.9269668984,37121333.1321875,1837177.48102942,1677690.85140625,256119.626591937,560553.241875,11096.2181562313,2673571.19203125,104692.332716827
DUR4,0.0586,,,,3.3596,0.01,71692.46359375,1436.5051867948,4011235.91140625,164481.733271348,764378.34984375,30694.3751331704,4315649.28890625,141277.914810248,216798.4915625,3284.4517229954,1183912.76203125,16694.3151057322,132713.91890625,2917.4405919344,165559.31359375,2935.5931879136,48869957.3198437,1730020.77068964,1696883.6334375,253447.011270274,602047.75203125,11086.866840731,3547665.61859375,112654.821347234
26-1,0.0598,169.08,97.99,,0.8858,0.01,46111.66890625,967.3785586261,814823.66640625,33882.5107932662,803925.5178125,39190.2358506382,3554477.04875,154424.078048509,66883.2271875,1153.8405913752,14397.4259375,396.076741655,132526.06625,2568.9441140478,164487.0175,2946.9835081047,9591458.24921875,285302.260493153,1563129.70296875,252425.795365155,496688.9715625,9485.3118385761,174240.9315625,19100.6962149011
26-2,0.0605,129.24,85.16,,0.306,0.01,23323.19296875,654.0866724735,344658.6475,20332.5711097197,396291.55859375,17027.9921494233,971472.005625,39286.1825123334,18009.85125,420.2247831655,10219.21875,375.2461478139,133286.57203125,3187.7126008677,163296.291875,2706.0991794093,4328906.9659375,152139.298141738,1520075.2725,246500.462677095,515593.48796875,11246.9493213125,39939.4896875,15064.8173738996
26-3,0.0605,201.58,83.82,,0.6056,0.01,37551.669375,903.2849260943,1077473.441875,37390.9886083495,1196517.17296875,49849.6513700868,2882126.57328125,102282.297917864,97411.1621875,2015.7076434936,39898.36703125,971.7483887008,133947.776875,2490.8581889779,165917.38078125,3541.9111027578,13076292.6778125,416411.871599267,1534862.7859375,240577.743277725,502783.09015625,9367.8435539301,248434.6959375,19705.3138153804
26-4,0.0606,123.16,78.63,,0.3509,0.01,24942.74921875,726.1820018447,331083.100625,18742.3033904096,388152.1021875,22424.8633263192,1293064.6865625,46577.0749813126,23625.098125,593.3355228822,12279.41421875,383.0827168482,133403.12,2520.1512062666,163250.13859375,3596.4168324019,4116000.63765625,192981.296640889,1461576.334375,241943.701819661,621077.16703125,12848.7848966883,32994.879375,15273.1170188888
