name,spike,length,width,height,He,err,U,err,Ca,err,Sm,err,Th,err,U,err,Th,err,P,err,Si,err,Cl,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],43,[err],147,[cps],232,[cps],235,[cps],230,[cps],31,[cps],29,[cps],35,[cps]
SS1,,,,,,,59429.28875,1338.3227841518,310997.183529412,60066.5012447591,58582.3870588235,1178.2603287793,85.6127941176,54.7742780521,49.6316911765,61.075579019,49.63169118,34.647573,21412023.5763235,746029.211927514,,,11371.4027941176,450.7881025218
SS3,,,,,,,117895.96625,2745.0038976738,1042524.1625,80566.0496275799,116648.597647059,2362.5867324654,226.4002941176,61.2930811994,12.3774264706,56.3430663199,12.37742647,25.39230365,38526006.3351471,1498968.31527289,692395.406617647,136700.522949271,22513.7245588235,505.928624172
SS2,,,,,,,59008.6378676471,1711.1056212103,394088.647058824,72839.5083661472,59663.7680882353,1432.3713543002,158.6541176471,56.9155759592,151.88875,68.0343670586,151.88875,45.81378683,22349898.1836765,957345.874281227,737207.197205882,122229.092180149,12059.7033823529,424.6512964899
SS4,,,,,,,120560.964926471,2815.0247157796,1347346.07426471,97195.2818340831,121422.051470588,2836.8764705862,270.3714705882,63.2417777665,89.6811029412,64.325026812,89.68110294,40.09909022,42118452.5542647,1435955.0936681,1933059.76455882,156843.876639992,24616.7998529412,693.5778880882
BX332-11,0.1138,352.2,115,105.2,0.0367,0.001627882,67064.3544852941,1458.4551773095,2945656.76375,164139.915576256,82629.2469117647,1949.0245429251,246023.131323529,4333.3315331105,307909.251397059,4388.7408640561,308000.1096,4388.452643,36779883.1592647,1100025.6041809,223058.195588235,100752.375835518,57594.5576470588,1187.0944103877
BX332-12,0.113,260.9,88.6,97.5,0.0736,0.002027313,39917.8534558824,1174.8510542284,1382066.13463235,75603.2186102009,46702.4345588235,1038.5569409566,248492.461764706,4065.2352444956,310157.586691177,4615.1846387977,310248.4449,4614.91056,17389942.6755882,493210.025799865,251837.759558823,105629.446376658,25156.7983823529,596.0100441268
BX332-13,0.1111,244.2,136.2,110.7,0.0519,0.001627882,57283.0411029412,1561.8028075054,2364545.89595588,124503.235185201,33654.9951470588,952.3417105918,238303.235441176,4219.1084876838,298931.978455882,5066.055323717,299022.8366,5065.805639,29392592.3694118,1168331.87769691,357062.966323529,101535.676905268,22293.9432352941,565.5457879337
BX332-14,0.112,266.9,152.3,120.1,0.045,0.001627882,88265.6593382353,2161.1202929403,3074962.94154412,170001.478124658,64806.2051470588,1385.3061698202,246591.212058824,4342.7052492782,309604.330955882,5649.4948148647,309695.1891,5649.270917,38384366.5135294,1315905.94599051,224422.982205883,103556.876521093,54788.4136764706,1179.253791951
BX332-15,0.1113,289.3,167.9,145.7,0.056,0.001697056,39735.6561029412,968.4547128889,3801335.47625,218804.087316209,58224.8613235294,1306.5852548338,239399.695441177,4345.6195458265,300888.431102941,4782.1380098114,300979.2893,4781.8735,47019467.5333823,1321622.12701997,306190.528088235,106879.870710486,26971.4123529412,629.2795921698
BX332-16,0.1102,340.5,134.5,120.8,0.0752,0.001702939,92684.1549264706,2245.9361742175,3190723.72683823,170022.258857724,75931.1801470588,1589.3521411358,242682.483676471,4513.3761527612,303700.981102941,5252.9342197171,303791.8393,5252.693418,39076204.3966177,1469942.11295995,359971.599411765,105137.573466799,57824.6783823529,1169.7320397418
BX332-17,0.111,241.9,118.6,112.5,0.346,0.002863564,73158.7136029411,1612.0376332912,1997888.94875,134454.521737947,80357.5332352941,1871.2238294189,239784.926470588,4498.0372617871,301223.092720588,5001.955170248,301313.9509,5001.702286,21798648.0820588,769772.540211234,677471.966323529,157359.463735586,53305.3592647059,983.6599510506
BX332-18,0.1105,321.3,117.3,110.4,0.0691,0.001702939,73146.3366911765,1936.9433388233,2430087.42963235,144128.974611462,30562.9766176471,817.5341597297,240719.623088235,4619.8011004358,304038.303455882,5014.628500742,304129.1616,5014.376255,30130720.6722059,1366166.91058528,340784.625588236,106201.567955293,38423.9495588235,829.3771140422
BX332-19,0.111,208.4,108.6,103.1,0.0385,0.002051828,53693.7631617647,1418.9622252092,1512172.49816176,95451.8883238333,33863.1857352941,889.3616115378,241507.967058824,5028.804259156,306352.748455882,5366.4289545036,306443.6066,5366.193246,18905938.9642647,701623.499365363,294576.751176471,102877.010369393,20726.1619117647,607.1358488877
BX332-20,0.1102,263,133.6,120.7,0.009,0.001979899,20054.3974264706,785.5033646247,2495492.43536765,136614.790603454,4699.4575,399.6253146977,238714.794558824,4668.2063093748,301120.06875,4989.7764883271,301210.9269,4989.522986,30950669.2882353,1348079.42024835,204854.694852941,105928.81552144,2941.1067647059,254.7485124878
BX332-21,0.1104,267.9,110.2,100,0.0889,0.002126029,72942.5103676471,1364.2249159594,2137952.38801471,124669.198835308,61205.9107352941,1296.557109648,236951.474852941,4710.7451283697,301061.734779412,4617.8326109663,301152.5929,4617.558689,26216043.4239706,991850.259126679,256950.98632353,105970.69041271,29606.4804411765,723.4175456755
DUR39,0.1101,,,,0.7041,0.005481788,24686.8525735294,799.4917376047,761710.501838235,66959.2819099159,223677.065588235,4944.0015344289,231966.107941177,4384.8921437081,294924.422720588,4408.2092507683,295015.2809,4407.922303,9367179.90411765,335143.063568508,329468.465441176,105826.268532528,37123.0788235294,748.7021984497
DUR40,0.0544,,,,0.6656,0.0051,17182.7959558824,712.2271396024,680524.833014706,68921.898959082,230335.658970588,3913.2648285429,117124.333823529,1923.62688152,147888.146838235,2750.8535873966,147979.005,2750.393733,8965204.70029412,476617.461608674,147586.860147059,92129.5197226492,34766.0423529412,717.4033628857
DUR41,0.0543,,,,1.3425,0.0099,28212.249632353,879.9247524645,1373318.87272059,87249.1555231904,430907.7825,8048.1150023729,115833.944411765,2106.7653207493,147746.623897059,3079.8658315913,147837.4821,3079.455109,18353465.5139706,775509.173240186,108601.809558824,92543.0530501691,69705.7823529412,1527.1645455644
DUR42,0.0573,,,,0.6594,0.007793587,16621.8630147059,669.8592554023,750480.186397059,66007.6836054694,216255.396176471,4476.8981803266,126053.325588235,2451.5018980712,160248.235367647,3109.2807386915,160339.0935,3108.873902,9627406.86323529,406415.878188985,12455.6766176473,91113.5763157131,37065.8238235294,829.3988913292
DURM-6,0.0548,,,,2.7704,0.020419843,51566.4663970588,1183.6192427852,1393484.45875,99482.6273772343,909861.436764706,20355.046170628,120291.740882353,2252.5342878682,152681.792573529,2658.1124755629,152772.6507,2657.636574,17920807.0947059,980698.822190646,69197.5763235297,92022.3997985055,120407.443676471,1819.460630389
MtD-11,0.0568,271.5,158.7,120.3,9.7961,0.065975602,203427.591985294,4379.7750214844,3157334.64669118,208778.086329799,770575.281323529,15979.8299344174,121221.004264706,1944.472113358,152447.819485294,2601.7461636352,152538.6776,2601.25995,40880810.5948529,1829654.85807453,346355.932058824,93492.1330993647,640618.186911764,9437.9589815792
Mt_D-12,0.057,298.3,165.1,117.6,10.5112,0.067707754,202653.24125,4645.986418467,4153950.00639706,228881.45108522,855711.041029412,16899.9631259842,123409.662941176,2579.2608920995,156396.633308824,2723.5124030362,156487.4915,2723.047932,54271603.9547059,2181174.0168485,350730.967352941,95556.1120020927,795368.161617647,12389.2608999652
MtD-13,0.0555,251.3,101.1,103.4,3.1081,0.021751782,77260.9961029412,1774.3172254366,1608129.60919118,104610.131168776,275193.685294118,5916.7132087499,118364.612941176,2337.8096887128,151183.467573529,2440.1290438331,151274.3257,2439.61062,20670325.4004412,999050.386892229,90080.2698529414,92961.7889349615,293666.136323529,4092.1034489029
FCTA-9,0.0562,598,122.8,101.5,1.7408,0.013097328,4470.3671323529,495.1262121201,-15586.5202205883,49729.8283422232,-1108.3501470588,327.0506431701,121769.402794118,2374.8912789768,154888.201985294,2754.8694183584,154979.0601,2754.410235,-8112.4922058824,88009.2806769324,-21298.8545588235,89938.0784183347,-808.1564705882,140.68747707
FCTA-10,0.057,322.7,112.6,103.2,0.9262,0.007854935,145048.375514706,3800.1243322178,2465215.9730147,166090.266504547,250260.731323529,5305.043319611,120757.875588235,1945.5558486303,152598.441985294,2859.0329285962,152689.3001,2858.590477,32155536.1348529,1763763.29723047,259688.469705882,95240.1019073305,160770.182352941,2726.9803964046
FCTA-11,0.0562,350.7,102.4,101.4,0.7611,0.007026379,95634.00625,2117.4937367219,2090189.82919118,121803.567831172,246949.027352941,5392.4940254304,123599.147205882,2207.3132275799,157945.783455882,2284.3594666275,158036.6416,2283.805684,26987035.4219118,933468.478950626,385919.021029412,93136.6927205838,152494.718970588,2503.107411074
