name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps]
SS1,,,,,,,81918.9284285714,1106.6713937179,74007.4774285714,1227.374020751,761380.708357143,72745.7754358929,18927249.1864286,2226806.01550799,56886.2854285715,36586.9333934756,121554.132071428,11132.2704370737,13914.3082857143,402.232328845,207.2142857143,49.1407009373,70.7142857143,27.7735780124
SS2,,,,,,,83916.9642857143,1179.0550006115,75521.1231428571,1075.03270744,782737.859642857,72411.8051984805,19377295.5801429,2197329.51590332,53325.2545714288,33957.886229407,116967.392642857,10538.230526905,14381.6222857143,356.0332853767,202.6428571429,44.5746518317,31.0714285714,26.1093416724
L1,0.0578,388.09,225.4,220.3,1.5993,0.0122482652,252666.014857143,2729.3901143156,361645.063857143,4440.701029648,9101738.04471429,584070.378862405,115243144.420857,10813223.3238099,683280.971285714,107848.802351764,755695.185428571,33592.3447701638,479546.545285714,4429.2167017816,175137.444142857,2191.6701172384,204419.931571429,2184.2981971451
L2,0.0577,423.97,142.98,148.02,1.0581,0.0086034877,162670.542285714,1977.6637363776,173486.964142857,2097.3715127885,4573492.85457143,399536.13050129,57343642.9881429,6647607.53913956,695757.835,102551.2539439,871116.032857143,59640.1089711598,205466.162428571,2250.0594896866,180577.555142857,2148.7885369693,210160.688857143,2304.1493862768
L3,0.0576,408.35,181.41,179.8,0.6527,0.0062177166,198556.483428571,2232.6191964102,162146.211714286,1749.149397151,6811570.89,551976.132772315,87777791.5712857,8122928.1422945,500295.328571429,56611.1847418959,997089.129,63207.4898390883,168331.587,1730.9863631847,177508.785857143,1794.8704212448,205229.151714286,2440.4462243988
L4,0.0574,438.51,326.91,325.37,4.453,0.0279051966,420880.424857143,6810.6919118683,597774.755571429,7020.4101557197,21250907.7584286,1837493.74248372,272613291.779571,24478226.0110474,1705866.11542857,110187.820957892,1015945.15842857,53331.8590219581,921310.258285714,6752.0988716787,176284.373428571,2078.7935393514,204567.070857143,2217.0731185577
L5,0.0571,502.79,187.16,202.15,1.6744,0.011102252,194481.393428571,2244.2080829529,387499.203285714,4065.4198398378,9866779.82485715,678263.922270998,122941190.850857,12031294.2113952,1035518.20814286,41474.1359046798,954568.946,76251.1341253229,434334.404142857,3498.5241943432,176619.911714286,2279.5329285674,205981.855714286,2326.627799405
L6,0.0565,535.34,355.92,344.71,8.3738,0.0511832981,617113.073,6465.8392006018,828603.085,9175.2838017883,35048122.7987143,2073159.90721536,450760251.835286,37534987.904476,3924369.95128571,290084.352552406,1580597.49571428,52715.6856770894,1446710.41328571,10359.3183486298,172195.440142857,1956.8567917687,198134.447428571,2460.8054196147
L7,0.0564,200.31,86.92,86.32,0.0951,0.0050229473,20766.3294285714,1800.3692147541,36549.5672857143,2559.2389069278,753564.971571429,57034.9261086884,9473650.99228571,952394.223960733,326641.788142857,64081.4700823846,695517.151,31542.695098949,26902.9772857143,533.2498662139,177563.353857143,2153.4328384027,206040.542285714,2443.2417895814
L8,0.0568,248.41,109.71,110.47,0.1005,0.005850641,26698.5842857143,566.4403181951,50071.4728571429,788.5943939164,1306673.456,91778.4333358946,16414733.279,1356709.97610387,529451.037714286,83798.125652198,643648.900857143,26959.6386473819,54022.0778571429,793.6415939874,177670.197571429,2192.0458737335,207824.924571429,2329.7957304175
L9,0.056,234.05,84.11,85.62,0.1036,0.0050813384,22444.1385714286,519.1270689781,37873.2165714286,530.8805422137,843987.983,79860.6969351077,10785572.2718571,873425.253438998,379720.351714286,37848.7669200105,971797.393,67678.7633302717,40982.6062857143,669.6273619203,173925.632714286,2411.2514623984,203969.085571429,2367.3901331976
L10,0.0559,521.52,222.33,221.52,6.6375,0.0443451237,575154.015857143,6201.6571457319,3083161.82414286,26696.6569352345,11911171.7232857,738660.831726461,151114465.316714,13049248.9957583,1556020.07357143,67901.4859536334,675447.885142857,24501.0434493007,479047.448285714,4106.8216077837,173806.775,2333.6688713025,202627.262714286,2427.7216387416
L11,0.0565,544.71,283.14,289.69,10.2146,0.055666507,919491.803285714,10858.668263162,4529146.79442857,41163.0090569304,19403515.9088571,1292243.41854174,247134673.176714,21824462.6979499,2143532.81071429,140512.481522368,745016.111285714,27341.9291000558,813991.135571429,5352.968703215,177059.646,2294.9040344828,202458.481571429,2022.5049626321
L12,0.0562,496.15,267.97,274.44,13.657,0.084497929,1257852.09057143,13993.8938388622,5165179.44128572,48536.1578069618,17987890.2184286,1215162.58776816,231843979.622429,20964201.5168041,2577267.24742857,130561.273838416,818931.713142857,41404.7151952384,1074802.29785714,7092.2288249647,179540.446571429,2247.275906386,200340.404857143,2073.6031994691
L13,0.0552,339.09,143.16,142.11,22.9298,0.1608796134,523568.933285714,5659.2192802005,3295320.66185714,28311.1107924,3883782.00457143,253368.743591681,49491315.7592857,4271032.28933715,974554.761000001,39159.8805252998,660248.787857143,26016.3367235089,473715.138857143,4635.5215306698,174870.136714286,2068.1960307992,202249.445714286,2078.5993920542
L14,0.0556,368.02,157.27,158.51,12.1371,0.0860026162,470809.635428571,5961.6670261883,2700363.82085714,29749.6817536833,4302587.64128572,214185.276806946,54183145.9094286,4449416.32764859,1011426.64542857,55492.5894052155,727601.569285715,19717.5959093434,506674.076,3763.5962158693,173375.125571429,2676.167087765,202795.497571429,2400.9632089452
L15,0.0557,309.07,150.1,156.75,2.8114,0.0202237484,264847.587142857,3081.0095329433,1236548.13642857,11152.4769219021,3771403.44242857,250029.169534441,48378653.8155714,3807921.57740279,1163502.23342857,69934.0809595737,781547.938428572,29338.2467798795,497782.960428571,4594.6137238638,172709.678714286,2332.9734659138,200825.005142857,2481.599235198
S1,0.0559,179.88,93.42,93.73,0.1939,0.0052019227,39891.3791428571,710.0729085443,84161.2981428572,1204.1882506621,954352.313142857,56110.7006629542,11664948.8868571,1063413.85107092,422693.547714286,71986.1260204713,831034.556,51230.4501878224,50773.624,785.0347875453,174187.227571429,2405.0674985776,201056.385857143,2144.8465436189
S2,0.0567,297.05,104.26,111.65,0.7757,0.006844706,53222.952,831.3029455029,78819.2047142857,1161.1487706849,1978470.24071429,140900.597936782,24792099.0477143,2678154.46173549,454879.015428572,79967.7757459479,642710.341142857,26265.5164089135,69764.1224285714,859.3802994549,176806.147285714,2194.3693159321,204549.749857143,1973.9412100841
S3,0.0559,190.69,104.47,98.99,0.1276,0.0050813384,35583.8945714286,620.7614701426,51003.1782857143,814.9323323362,971876.413285714,60442.0076480795,12598960.448,816511.498584588,406825.710428571,25447.6587630375,800059.240428571,26758.1193407627,37539.5357142857,591.2375983994,173799.872571429,2543.31748261,202301.105714286,2708.5316705115
S4,0.0552,153.6,101.3,,0.7728,0.0070263789,106275.297142857,1490.3970956909,104519.855428571,1405.5380258785,716330.182714286,45673.0866208548,9305466.94771429,818588.141484968,305759.958571428,69673.1236243861,654617.673714286,27286.4470229091,119871.938857143,1261.9661159069,173387.335142857,2206.828235754,201292.499285714,2011.7890388252
S5,0.0555,124.1,90.1,,0.5651,0.0057306195,73223.7034285714,1196.6791278051,69736.803,971.8322862307,539514.359,37639.5126411763,7004084.59728572,523166.573037205,283630.222142857,32295.4955452288,737061.613857143,25694.2706634243,76645.4301428572,1163.1724339009,171582.501857143,1920.9045533088,200591.306142857,2660.4038695773
