name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Mn,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],55,[cps],89,[cps]
SS1,,,,,,,82669.705,1155.890281035,76619.23625,1268.0307746512,916815.53953125,41454.2256211605,24154400.2808594,1347702.68162833,649172.9528125,243567.307311933,72037.1275781251,10336.5272422704,15559.109375,400.8888824864,186.328125,45.3863485524,5.859375,21.7579065633,718733.003203125,23997.6679756971,-6414.6140625,3659.5477787929,869705.93734375,25141.6640915656
SS2,,,,,,,83314.32234375,1522.3238350085,77403.994375,1232.7316757455,906732.51046875,58165.087845638,23859415.8753906,1489758.79822832,772218.3940625,306618.384121296,60182.2539843751,9300.3536758905,15612.83046875,426.1458977287,185,38.5101222264,-2.109375,22.8140288137,687295.561640625,20577.3239452452,-3576.558125,3367.7925341843,862719.7675,25722.2389424871
SS3,,,,,,,83215.925,1572.8200481465,78389.06625,1248.5106458201,877053.0246875,37280.685549755,23768108.8664844,1535622.91928945,1016365.14328125,156259.094349119,80978.0952343749,9888.5438524542,15508.4384375,403.1457559134,178.828125,38.0006265613,22.890625,29.5576472996,676469.844140625,26939.4587450818,541.985625,3396.5620060998,845724.0040625,25822.8481743848
SS4,,,,,,,86216.1921875,1227.1838390331,78332.2184375,1128.7406345715,909510.75296875,38122.9682428153,24230179.5800781,1676199.14458839,1054776.43078125,151584.761470033,94801.7796093751,10706.3774873802,16044.63421875,356.7343194535,190.390625,40.6189708591,3.984375,21.2013624057,1851158.36992188,63104.0375599862,6595.47828125,4086.2538369741,871689.66921875,23018.4098516941
DUR51,0.0549,,,,0.7545,0.0056718604,29440.5415625,662.5113535948,320218.24734375,3337.0488092911,859182.14734375,47760.2291779989,11345306.8969531,787698.081657934,206994.26609375,285085.112917514,258290.978046875,17610.142302496,49288.17140625,758.6170104384,164064.49109375,1970.4145347223,191644.646875,2039.9674621299,779111.071875,22090.8583641114,180341.72984375,11839.6362729003,879522.808828125,30003.1176310591
B18-1,0.056,314.8,153.9,,0.0716,0.001421267,112480.0975,1795.8055630335,51927.3053125,968.7136097595,3159292.55828125,145755.116802853,41756327.6328906,2573114.02714352,288519.5034375,300211.733803949,37965.1799218752,12935.729797381,117462.77015625,1395.9711017015,167845.08328125,2500.472114767,194260.22296875,2224.4586325671,2474585.23609375,84846.0944664828,2902833.89453125,122529.757553777,2431385.04757813,65383.266438065
B18-2,0.0551,404,133.5,,0.0801,0.001421267,94211.05203125,1536.547704785,46247.045625,733.6644011645,2540963.149375,164787.920281237,33332892.2886719,1792427.69386262,311930.97203125,279083.788023053,58004.6564843751,13774.1801066538,108562.64671875,1287.3472441754,165123.19765625,2200.7324096675,190396.32359375,2115.4736672886,1965469.54828125,59190.2729280485,2763146.446875,108819.085040755,2573140.92007813,70451.7320329295
B18-3,0.0556,275.9,126.7,,0.0676,0.001421267,88459.9540625,1359.4620732349,39979.6746875,791.7730274276,2187658.9246875,97599.1646267591,27476973.2361719,1952736.79165005,356708.88546875,258131.908741057,109023.936484375,15718.3575127998,82475.420625,905.1727266667,166911.9096875,2600.3142967262,192438.46625,2007.7998371245,1904517.95078125,47151.3282544251,2458788.57546875,93917.5981737661,1699199.97257812,75048.0661027486
B18-4,0.0569,241.3,114.1,,0.0359,0.0013453624,61281.26171875,1179.8381147773,32500.83015625,642.3489620915,1504265.33171875,78148.4682504251,19717890.4949219,1467084.19997901,224260.621250001,285806.79782143,24645.2724218752,13753.1394094389,41312.4221875,706.2274936174,168358.57046875,2340.789825476,195937.16734375,2509.7217455822,1084112.3846875,32266.3603927072,1370185.85359375,81432.4610818388,894695.608359375,22592.9263333727
