name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],89,[cps]
SS1,,,,,,,94648.358828125,1184.8551405481,85705.070625,1323.0743953731,775536.975234375,68302.7796537339,21049763.4621094,2162794.62458279,103648.947421875,113296.778746352,133041.446484375,20922.5113859052,15993.55765625,422.7765218965,197.9296875,45.9998821187,8.4765625,47.3111261895,515402.07609375,49207.0088886883,841882.93125,53687.0271143789
SS2,,,,,,,94218.756953125,1522.5225050686,86469.69796875,1263.0952435388,804205.287890625,76566.3842664326,21268022.3541406,2179373.75766854,72922.2558593751,111100.116398942,86412.870078125,20066.0453670269,16064.71796875,384.0557982911,206.9140625,54.6973619741,4.7265625,46.3814562806,486050.32265625,40364.5749024811,840204.64046875,50408.8461484014
u1,0.0567,,,,53.688,0.3921012752,1692278.28429687,16153.3161542642,4471.6684375,234.0532032945,1033003.5778125,79114.1911004271,12530721.71625,926388.200789564,37522.2356249999,111769.385884157,90318.0651562501,21843.9394398561,317.855,85.8771553491,196876.8275,2355.0817704151,214359.6228125,2472.4477219879,30654218.6614063,1035848.50768151,20682.04375,2669.7420320535
u2,0.0587,,,,56.0281,0.4089059183,2102719.78976562,22031.8231141955,5385.94703125,240.6739137842,4095776.3075,278237.650713104,47817176.4478125,4911149.58353508,94666.5285937497,113457.975367896,102031.2834375,21971.3238094161,562.628125,82.9500272859,208264.0075,2234.8313030816,223481.5496875,2569.9807313665,163564491.604219,6481913.16274888,33584.31359375,2930.1380720114
u3,0.0573,,,,113.0739,0.8246133943,3079540.64601563,31369.5226045769,4908.52015625,214.8472369666,1658971.493125,131243.326697967,19906646.99125,1465615.32509593,64964.1776562497,111343.628005887,71790.01875,23471.5287939354,496.14296875,74.2132753883,210517.9303125,2655.1309895635,218135.7153125,2590.4856152653,36509971.3320313,1525611.77966986,25099.679375,2927.9609089569
u4,0.0584,,,,137.1795,0.9383521407,4605779.04648438,52208.5637149702,5175.639375,219.0409202606,2306082.211875,196389.653416856,27573262.3478125,2416783.40044952,61318.8793749999,112050.719635597,133917.01140625,23890.7698684281,771.3878125,90.4459429575,225855.4203125,2691.7199244557,223315.69046875,2107.8807753668,41708895.6179687,1574461.58686958,32761.7253125,3319.2807118632
u5,0.0575,,,,83.0381,0.6045029859,2598712.06992188,23818.1560965774,6063.6978125,258.2984535777,1217474.56515625,95454.9854792049,14324854.654375,1291030.01510409,107057.73609375,113175.307291392,92338.0892187501,24344.9010101711,1023.4334375,103.291700854,209816.15734375,2474.1452374765,220376.9128125,2088.4608785285,29665345.178125,1288842.37735013,41551.535625,3755.88811313
u6,0.0569,,,,5.6839,0.0414120755,233547.209140625,2391.6580062008,7091.86890625,285.2718364116,603825.66265625,44647.2931986636,6987788.94453125,717662.504118194,46671.03078125,112435.83792769,74420.2656250002,22462.1622316798,373.01453125,73.7717243146,189626.35328125,2078.5358373422,215815.95984375,2466.9866560573,24117106.52875,1187308.32049711,18260.48609375,2343.2391017023
E-1,0.0563,,,,10.594,0.0773052391,391374.130078125,5129.1921679076,7032.7009375,302.7517708968,595505.71328125,51830.5100517922,7093131.610625,663699.784926047,11306.63515625,115251.575276953,96543.2103125,21706.8892085254,224.4921875,65.8494225686,189093.6521875,2150.9778482539,213862.31,2615.5261234748,23762861.135,1049208.5446319,14677.26125,1951.7089579467
E-2,0.0546,,,,14.7666,0.1079037534,535720.015546875,6250.2443125853,4555.91109375,232.5260846784,376873.46890625,31216.5021119243,3774322.80484375,380548.530836784,7373.8776562501,110459.942570898,96112.6640625002,23647.4486425194,204.7265625,64.9827653757,183602.83859375,2115.4054570205,206312.3309375,2379.7171681965,8165633.54078125,299289.040355849,20622.53171875,2172.6315055226
E-3,0.0563,,,,38.4297,0.3178012744,1207535.03226563,13065.7783836626,4696.50171875,218.7882872188,544376.64515625,62668.7448109014,6574048.13921875,559074.722926002,10146.4323437503,111371.074145868,132075.920625,23677.925080712,189.4921875,63.2677889553,190952.6175,1948.6962648613,210168.35203125,2131.9770128114,11021744.7120312,416496.647149831,15335.673125,2053.2622951569
E-4,0.0564,,,,42.4817,0.3105019485,1391846.50320312,18768.0851825275,32390.2009375,613.567886344,2325254.68578125,165598.90015785,7543754.74703125,766830.631383976,651401.9971875,1061981.26544418,2895175.76765625,94343.8298213145,3595.0384375,172.8765767877,192709.74671875,3000.59537769,199048.764375,2082.1576561052,18765242.4440625,860117.678504578,274330.96015625,16147.1214849302
